n1,n2,weight
Reagan1984Hard,Reagan1984Moral,0
Reagan1984Decent,Reagan1984Moral,0.351930833
Reagan1984Comp,Reagan1984Moral,1.02840781
Reagan1984Respect,Reagan1984Moral,0.479606522
Reagan1984Int,Reagan1984Moral,0.763137163
Reagan1984Moral,Reagan1984Moral,0
Reagan1984Kind,Reagan1984Moral,0.752652293
Reagan1984Insp,Reagan1984Moral,0
Reagan1984Know,Reagan1984Moral,0.206990967
Reagan1984Example,Reagan1984Moral,-0.19720405
Reagan1984Cares,Reagan1984Moral,0.474555301
Reagan1984Lead,Reagan1984Moral,0.447747366
Reagan1984Und,Reagan1984Moral,-0.259875727
Reagan1984Fair,Reagan1984Moral,0
Reagan1984Touch,Reagan1984Moral,0
Reagan1984Angry,Reagan1984Moral,0.744237486
Reagan1984Hope,Reagan1984Moral,0
Reagan1984Afr,Reagan1984Moral,0.168816915
Reagan1984Prou,Reagan1984Moral,0.295794605
Reagan1984Disg,Reagan1984Moral,0.778970017
Reagan1984Symp,Reagan1984Moral,0.03606177
Reagan1984Uneasy,Reagan1984Moral,0
Bias,Reagan1984Kind,-2.915233025
Reagan1984Hard,Reagan1984Kind,0
Reagan1984Decent,Reagan1984Kind,0
Reagan1984Comp,Reagan1984Kind,1.036036993
Reagan1984Respect,Reagan1984Kind,0
Reagan1984Int,Reagan1984Kind,1.531759142
Reagan1984Moral,Reagan1984Kind,0.752652293
Reagan1984Kind,Reagan1984Kind,0
Reagan1984Insp,Reagan1984Kind,-0.035978237
Reagan1984Know,Reagan1984Kind,0
Reagan1984Example,Reagan1984Kind,0
Reagan1984Cares,Reagan1984Kind,0.102984971
Reagan1984Lead,Reagan1984Kind,0
Reagan1984Und,Reagan1984Kind,-0.222710217
Reagan1984Fair,Reagan1984Kind,0
Reagan1984Touch,Reagan1984Kind,-0.123727676
Reagan1984Angry,Reagan1984Kind,0.414748999
Reagan1984Hope,Reagan1984Kind,0
Reagan1984Afr,Reagan1984Kind,0
Reagan1984Prou,Reagan1984Kind,0
Reagan1984Disg,Reagan1984Kind,0
Reagan1984Symp,Reagan1984Kind,0.243681744
Reagan1984Uneasy,Reagan1984Kind,0.319082787
Bias,Reagan1984Insp,-0.214271825
Reagan1984Hard,Reagan1984Insp,0
Reagan1984Decent,Reagan1984Insp,-0.235580361
Reagan1984Comp,Reagan1984Insp,-0.293097812
Reagan1984Respect,Reagan1984Insp,0
Reagan1984Int,Reagan1984Insp,-0.190684289
Reagan1984Moral,Reagan1984Insp,0
Reagan1984Kind,Reagan1984Insp,-0.035978237
Reagan1984Insp,Reagan1984Insp,0
Reagan1984Know,Reagan1984Insp,0
Reagan1984Example,Reagan1984Insp,0.643699191
Reagan1984Cares,Reagan1984Insp,0
Reagan1984Lead,Reagan1984Insp,-0.232176609
Reagan1984Und,Reagan1984Insp,1.466386937
Reagan1984Fair,Reagan1984Insp,0
Reagan1984Touch,Reagan1984Insp,0.58403074
Reagan1984Angry,Reagan1984Insp,-0.205981775
Reagan1984Hope,Reagan1984Insp,0
Reagan1984Afr,Reagan1984Insp,0
Reagan1984Prou,Reagan1984Insp,0
Reagan1984Disg,Reagan1984Insp,0
Reagan1984Symp,Reagan1984Insp,-0.280543851
Reagan1984Uneasy,Reagan1984Insp,0
Bias,Reagan1984Know,-1.862616207
Reagan1984Hard,Reagan1984Know,0.245646485
Reagan1984Decent,Reagan1984Know,0.458170182
Reagan1984Comp,Reagan1984Know,0.590316975
Reagan1984Respect,Reagan1984Know,0.396853421
Reagan1984Int,Reagan1984Know,0
Reagan1984Moral,Reagan1984Know,0.206990967
Reagan1984Kind,Reagan1984Know,0
Reagan1984Insp,Reagan1984Know,0
Reagan1984Know,Reagan1984Know,0
Reagan1984Example,Reagan1984Know,0
Reagan1984Cares,Reagan1984Know,1.498144769
Reagan1984Lead,Reagan1984Know,0.142087535
Reagan1984Und,Reagan1984Know,0
Reagan1984Fair,Reagan1984Know,0.612414687
Reagan1984Touch,Reagan1984Know,0
Reagan1984Angry,Reagan1984Know,0
Reagan1984Hope,Reagan1984Know,0
Reagan1984Afr,Reagan1984Know,0
Reagan1984Prou,Reagan1984Know,0
